ANIDLE – Charakterliste (169 Charaktere)
=========================================
Stand: Mai 2026

Name                              | Anime
----------------------------------|--------------------------------------------------
Ai Hoshino                        | Oshi no Ko
Akane Ousaki                      | Akane Banashi
Aki Adagaki                       | Masamune-kun's Revenge
Albedo                            | Overlord
Alpha                             | The Eminence in Shadow
Alya Kujou                        | Alya Sometimes Hides Her Feelings in Russian
Astolfo                           | Fate/Apocrypha
Asuka Langley Soryu               | Neon Genesis Evangelion
Asuna Yuuki                       | Sword Art Online
Ayame Moriya                      | Blue Box
Ayano Kimishima                   | Alya Sometimes Hides Her Feelings in Russian
Beatrice                          | Re:Zero
Beatrix Amerhauser                | Zom100
Big Mom                           | One Piece
Biggie Cheese                     | Barnyard
Blake Belladonna                  | RWBY
Bridget                           | Guilty Gear
Burnice                           | Zenless Zone Zero
C.C.                              | Code Geass
Canari                            | Pokemon
Ceasar King                       | Zenless Zone Zero
Chelsea                           | Akame ga Kill
Chika Fujiwara                    | Kaguya-sama: Love is War
Chinatsu Kano                     | Blue Box
Chitose Amane                     | My Dress-Up Darling
Cynthia                           | Pokemon
Darkness                          | KonoSuba
Delta                             | The Eminence in Shadow
Elfaria Albis Serfort             | Wistoria: Wand and Sword
Emilia                            | Re:Zero
Enigmara                          | Pokemon
Epsilon                           | The Eminence in Shadow
Erina Nakiri                      | Food Wars!: Shokugeki no Soma
Erza Scarlet                      | Fairy Tail
Felix Argyle                      | Re:Zero
Fern                              | Frieren: Beyond Journey's End
Flamme                            | Frieren: Beyond Journey's End
Frieren                           | Frieren: Beyond Journey's End
Fubuki                            | One Punch Man
Gardevoir                         | Pokemon
Haku                              | Naruto
Haru Aomi                         | Chitose in the Ramune Bottle
Hatsune Miku                      | Vocaloid
Hideyoshi Kinoshita               | Baka and Test
Hikari Hoshimiya                  | Haibaras Teenage New Game+
Himari                            | Can a Boy-Girl-Friendship survive?
Hina Chono                        | Blue Box
Hinata Hyuga                      | Naruto
Historia Reiss                    | Attack on Titan
Holo                              | Spice and Wolf
Horikita Suzune                   | Classroom of the Elite
Ichika Nakano                     | The Quintessential Quintuplets
Ino Yamanaka                      | Naruto
Iris                              | Fire Force
Iroha Isshiki                     | My Teen Romantic Comedy SNAFU
Iroha Sakayori                    | Cosmic Princess Kaguya
Itsuki Nakano                     | The Quintessential Quintuplets
Kaguya Shinomiya                  | Kaguya-sama: Love is War
Kaguya-Hime                       | Cosmic Princess Kaguya
Kana Arima                        | Oshi no Ko
Kanne Lawine                      | Frieren: Beyond Journey's End
Kaoruko Waguri                    | The Fragrant Flower Blooms Within You
Karane Inda                       | 100 Girlfriends Who Really, Really, Really, Really, Really Love You
Kasane Teto                       | UTAU
Kasumi Miwa                       | Jujutsu Kaisen
Kei Karuizawa                     | Classroom of the Elite
Kirara Hoshi                      | Jujutsu Kaisen
Kobeni Higashiyama                | Chainsaw Man
Kohaku                            | Dr. Stone
Kojuro Shuri                      | Masamune-kun's Revenge
Koyuki Hikawa                     | The Ramparts of Ice
Kuina Sazanami                    | Tougen Anki
Kurisu Makise                     | Steins;Gate
Kyoko Hori                        | Horimiya
Leafa                             | Sword Art Online
Leone                             | Akame ga Kill
Lucky Cyan                        | To Be Hero X
Lucoa                             | Miss Kobayashi's Dragon Maid
Lucy                              | Cyber Punk: Edgerunners
Lucy Heartfilia                   | Fairy Tail
Mai Sakurajima                    | Rascal Does Not Dream of Bunny Girl Senpai
Makima                            | Chainsaw Man
Maomao                            | The Apothecary Diaries
Marin Kitagawa                    | My Dress-Up Darling
Maruzensky                        | Uma Musume
Masha Kujo                        | Alya Sometimes Hides Her Feelings in Russian
Matiere                           | Pokemon
Mavuika                           | Genshin Impact
Megumin                           | KonoSuba
Merlin                            | The Seven Deadly Sins
Mikasa Ackerman                   | Attack on Titan
Miki Azumi                        | The Ramparts of Ice
Miko Iino                         | Kaguya-sama: Love is War
Miko Yotsuya                      | Mieruko-chan
Miku Nakano                       | The Quintessential Quintuplets
Miku Sakura                       | I want to end this Love-Game
Miori Motomiya                    | Haibaras Teenage New Game+
Mirko                             | My Hero Academia
Misa Amane                        | Death Note
Misato Katsuragi                  | Neon Genesis Evangelion
Mitsuri Kanroji                   | Demon Slayer
Miyu Suzuki                       | You and I are Polar Opposites
Momo Ayase                        | Dandadan
Mona                              | Genshin Impact
Mt. Lady                          | My Hero Academia
Nagisa Shiota                     | Assassination Classroom
Najimi Osana                      | Komi Can't Communicate
Nami                              | One Piece
Nanase                            | Chitose in the Ramune Bottle
Nazuna Nanakusa                   | Call of the Night
Nefertari Vivi                    | One Piece
Nico Robin                        | One Piece
Nino Nakano                       | The Quintessential Quintuplets
Nobara Kugisaki                   | Jujutsu Kaisen
Noi Komazawa                      | Cosmic Princess Kaguya
Noreason                          | Uma Musume
Nowa Sugaya                       | My Dress-Up Darling
Osaragi                           | Sakamoto Days
Ouka Shiunji                      | Children of the Shiunji Family
Pencilgon                         | Shangri-La Frontier
Poemu Kohinata                    | The Klutzy Class Monitor and the Girl with the Short Skirt
Power                             | Chainsaw Man
Queen                             | To Be Hero X
Raiha Uesugi                      | The Quintessential Quintuplets
Rebecca                           | Cyber Punk: Edgerunners
Rem                               | Re:Zero
Revy                              | Black Lagoon
Reze                              | Chainsaw Man
Rias Gremory                      | High School DxD
Rin Tohsaka                       | Fate/stay night
Ritsuko Akagi                     | Neon Genesis Evangelion
Riyo Reaper                       | Gachiakuta
Rory Mercury                      | Gate
Ruby Hoshino                      | Oshi no Ko
Ruby Rose                         | RWBY
Rukia Kuchiki                     | Bleach
Ryuji Ayukawa                     | Blue Period
Saber                             | Fate/stay night
Serie                             | Frieren: Beyond Journey's End
Shion                             | That Time I Got Reincarnated as a Slime
Shuna                             | That Time I Got Reincarnated as a Slime
Super Sonico                      | Super Sonico
Sylpha Langlis                    | Reincarnated as the7th Prince
Tatsumaki                         | One Punch Man
Tayuya                            | Naruto
Temari                            | Naruto
Totsuka Saika                     | My Teen Romantic Comedy SNAFU
Tuka Luna Marceau                 | Gate
Ubel                              | Frieren: Beyond Journey's End
Umi Asanagi                       | I made friends with the second-prettiest Girl in Class
Uzaki Hana                        | Uzaki-chan Wants to Hang Out!
Vladilena Milize                  | 86 Eighty-Six
Weiss Schnee                      | RWBY
Yachiyo Runami                    | Cosmic Princess Kaguya
Yamato                            | One Piece
Yamato Nadeshiko                  | The Klutzy Class Monitor and the Girl with the Short Skirt
Yang Xiao Long                    | RWBY
Yor Forger                        | Spy x Family
Yoruichi Shihōin                  | Bleach
Yotsuba Nakano                    | The Quintessential Quintuplets
Yui Yuigahama                     | My Teen Romantic Comedy SNAFU
Yuki Suou                         | Alya Sometimes Hides Her Feelings in Russian
Yuki Yoshikawa                    | Horimiya
Yuki Yukinoshita                  | My Teen Romantic Comedy SNAFU
Yuu Amami                         | I made friends with the second-prettiest Girl in Class
Yuuko Hiiragei                    | Chitose in the Ramune Bottle
Yuzuriha                          | Hell's Paradise
Zero Two                          | Darling in the FranXX
Zoro                              | One Piece
